fid,covid_testing,ecg_machine,ecg_wait,icu_beds,address,beds,city,country,county,id,latitude,longitude,name,state,status,telephone,type,ventilator,website,zip,total_ecg_machine,total_icu_beds,total_beds,total_ventilator
12,-1,-1,-1,-1,"393 S. TUSTIN STREET",27,ORANGE,USA,ORANGE,15992866,33.78272717,-117.8338919,"HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE",CA,OPEN,"NOT AVAILABLE",CHILDREN,-1,http://www.healthbridgeorange.com,92866,-1,-1,-1,-1
13,-1,-1,-1,-1,"14851 YORBA STREET",48,TUSTIN,USA,ORANGE,16192680,33.74746074,-117.8310556,"HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.tustinrehab.com,92680,-1,-1,-1,-1
14,-1,-1,-1,-1,"875 NORTH BREA BOULEVARD",86,BREA,USA,ORANGE,23792621,33.93449589,-117.8939488,"KINDRED HOSPITAL BREA",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kindredhospitalbrea.com/,92621,-1,-1,-1,-1
15,-1,-1,-1,-1,"200 HOSPITAL CIRCLE",109,WESTMINSTER,USA,ORANGE,24392683,33.76353321,-117.995256,"KINDRED HOSPITAL WESTMINSTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.khwestminster.com/,92683,-1,-1,-1,-1
16,-1,-1,-1,-1,"1100 SO. AKERS STREET",63,VISALIA,USA,TULARE,22093277,36.32084395,-119.3482345,"KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaweahdelta.org,93277,-1,-1,-1,-1
17,-1,-1,-1,-1,"600 N LEWIS AVE.",103,"NEW IBERIA",USA,IBERIA,5870563,30.00690698,-91.79452385,"DAUTERIVE HOSPITAL",LA,OPEN,"(337) 365-7311","GENERAL ACUTE CARE",-1,http://www.dauterivehospital.com,70563,-1,-1,-1,-1
18,-1,-1,-1,-1,"1100 EAST LOOP 304",25,CROCKETT,USA,HOUSTON,13177954,31.32360364,-95.43889931,"CROCKETT MEDICAL CENTER",TX,OPEN,"(936( 546-3891","GENERAL ACUTE CARE",-1,http://crockettmedicalcenter.com/,77954,-1,-1,-1,-1
19,-1,-1,-1,-1,"242 W SHAMROCK AVE",128,PINEVILLE,USA,RAPIDES,4671360,31.32737894,-92.44013511,"CENTRAL LOUISIANA STATE HOSPITAL",LA,OPEN,"(318) 484-6200",PSYCHIATRIC,-1,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,71360,-1,-1,-1,-1
20,-1,-1,-1,-1,"409 1ST ST",11,BERNICE,USA,UNION,15671222,32.82399167,-92.65664868,"REEVES MEMORIAL MEDICAL CENTER",LA,OPEN,"(318) 285-9066","GENERAL ACUTE CARE",-1,http://reevesmemorial.com/,71222,-1,-1,-1,-1
21,-1,-1,-1,-1,"309 N MAIN ST",18,FARMERVILLE,USA,UNION,16971241,32.77612793,-92.40562585,"SERENITY SPRINGS SPECIALTY HOSPITAL",LA,OPEN,"(318) 202-3860",PSYCHIATRIC,-1,http://www.serenityhospital.com,71241,-1,-1,-1,-1
22,-1,-1,-1,-1,"209 FRONT ST.",40,VIDALIA,USA,CONCORDIA,15371373,31.56117486,-91.42606698,"RIVERBRIDGE SPECIALTY HOSPITAL",LA,OPEN,"(800) 269-8034","LONG TERM CARE",-1,http://www.promise-misslou.com,71373,-1,-1,-1,-1
23,-1,-1,-1,-1,"7939 HIGHWAY 165",40,COLUMBIA,USA,CALDWELL,5371418,32.06003995,-92.09913767,"CITIZENS MEDICAL CENTER",LA,OPEN,"(318) 649-6106","GENERAL ACUTE CARE",-1,"NOT AVAILABLE",71418,-1,-1,-1,-1
24,-1,-1,-1,-1,"2776 PACIFIC AVENUE",121,"LONG BEACH",USA,"LOS ANGELES",70990806,33.80709287,-118.1933899,"COLLEGE MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.collegemedicalcenter.com,90806,-1,-1,-1,-1
25,-1,-1,-1,-1,"2500 MERCED STREET",216,"SAN LEANDRO",USA,ALAMEDA,71794577,37.7064062,-122.1646545,"KAISER FOUNDATION HOSPITAL - SAN LEANDRO",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,94577,-1,-1,-1,-1
26,-1,-1,-1,-1,"16453 SOUTH COLORADO AVENUE",177,PARAMOUNT,USA,"LOS ANGELES",72590723,33.88463186,-118.1622671,"KINDRED HOSPITAL PARAMOUNT",CA,OPEN,"NOT AVAILABLE","LONG TERM CARE",-1,http://www.promiseeastla.com/,90723,-1,-1,-1,-1
27,-1,-1,-1,-1,"11401 BLOOMFIELD AVENUE",1265,NORWALK,USA,"LOS ANGELES",73790650,33.92803135,-118.0679897,"DEPARTMENT OF STATE HOSPITAL-METROPOLITAN",CA,OPEN,"(562) 863-7011",PSYCHIATRIC,-1,http://www.dsh.ca.gov/metropolitan/default.asp,90650,-1,-1,-1,-1
28,-1,-1,-1,-1,"5383 STATE ROUTE 154",17,PINCKNEYVILLE,USA,PERRY,196162274,38.084846,-89.349108,"PINCKNEYVILLE COMMUNITY HOSPITAL",IL,OPEN,"(618) 357-2187","CRITICAL ACCESS",-1,http://www.pvillehosp.org/,62274,-1,-1,-1,-1
29,-1,-1,-1,-1,"11705 MERCY BOULEVARD",294,SAVANNAH,USA,CHATHAM,85531419,31.98543032,-81.15455637,"ST JOSEPH'S HOSPITAL - SAVANNAH",GA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,"NOT AVAILABLE",31419,-1,-1,-1,-1
30,-1,-1,-1,-1,"320 TURNER MCCALL BOULEVARD",45,ROME,USA,FLOYD,86630165,34.25971345,-85.18023963,"KINDRED HOSPITAL ROME",GA,OPEN,"NOT AVAILABLE","LONG TERM CARE",-1,"NOT AVAILABLE",30165,-1,-1,-1,-1
31,-1,-1,-1,-1,"801 W GORDON STREET",115,THOMASTON,USA,UPSON,87130286,32.8862977,-84.33650699,"UPSON REGIONAL MEDICAL CENTER",GA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,"NOT AVAILABLE",30286,-1,-1,-1,-1
32,-1,-1,-1,-1,"126 HIGHWAY 280 W",76,AMERICUS,USA,SUMTER,87531719,32.06696234,-84.2560502,"PHOEBE SUMTER MEDICAL CENTER",GA,OPEN,"(229) 924-6011","GENERAL ACUTE CARE",-1,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,31719,-1,-1,-1,-1
33,-1,-1,-1,-1,"6135 ROOSEVELT HIGHWAY",32,"WARM SPRINGS",USA,MERIWETHER,87931830,32.88798074,-84.6923449,"ROOSEVELT WARM SPRINGS LTAC HOSPITAL",GA,OPEN,"(404) 655-5011","LONG TERM CARE",-1,"NOT AVAILABLE",31830,-1,-1,-1,-1
34,-1,-1,-1,-1,"600 CELEBRATE LIFE PKWY",50,NEWNAN,USA,COWETA,90030265,33.38483465,-84.75774669,"SOUTHEASTERN REGIONAL MEDICAL CENTER",GA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.cancercenter.com/southeastern/,30265,-1,-1,-1,-1
35,-1,-1,-1,-1,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",988,CAROLINA,PRI,METRO,196500984,18.380443,-65.95579,"DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA",PR,OPEN,"(787) 621-3322","GENERAL ACUTE CARE",-1,https://www.tuhospitalfamiliar.com/,984,-1,-1,-1,-1
36,-1,-1,-1,-1,"3150 GERSHWIN DRIVE",16,"GREEN BAY",USA,BROWN,2054311,44.52271226,-87.92482708,"BROWN CTY COMMUNITY TREATMENT CENTER",WI,OPEN,"(920) 391-4700",PSYCHIATRIC,-1,http://www.co.brown.wi.us/,54311,-1,-1,-1,-1
37,-1,-1,-1,-1,"10000 WEST BLUEMOUND ROAD",40,WAUWATOSA,USA,MILWAUKEE,151253226,43.03581215,-88.03726582,"WHEATON FRANCISCAN WI HEART SPINE AND ORTHO",WI,OPEN,"(414) 778-7800","GENERAL ACUTE CARE",-1,"NOT AVAILABLE",53226,-1,-1,-1,-1
38,-1,-1,-1,-1,"AVE LAUREL 100, URB. SANTA JUANITA",-999,BAYAMON,PRI,BAYAMON,196600956,18.36765566,-66.15439126,"HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES",PR,OPEN,"(787) 786-7373",PSYCHIATRIC,-1,"NOT AVAILABLE",956,-1,-1,-1,-1
39,-1,-1,-1,-1,"6410 MASONIC DRIVE",18,ALEXANDRIA,USA,RAPIDES,159171301,31.25219156,-92.48198781,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA",LA,OPEN,"(318) 473-0035","GENERAL ACUTE CARE",-1,"NOT AVAILABLE",71301,-1,-1,-1,-1
40,-1,-1,-1,-1,"4608 HIGHWAY 1",38,RACELAND,USA,LAFOURCHE,163570394,29.70267142,-90.5652539,"OCSHNER ST. ANNE GENERAL HOSPITAL",LA,OPEN,"(985) 537-8377","GENERAL ACUTE CARE",-1,https://www.ochsner.org/locations/ochsner-st-anne/,70394,-1,-1,-1,-1
41,-1,-1,-1,-1,"4502 HWY 951",-999,JACKSON,USA,"EAST FELICIANA",164970748,30.83263569,-91.21066049,"FELICIANA FORENSIC FACILITY",LA,OPEN,"(225) 634-0216","GENERAL ACUTE CARE",-1,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,70748,-1,-1,-1,-1
42,-1,-1,-1,-1,"3201 WALL BOULEVARD",14,GRETNA,USA,JEFFERSON,160970056,29.86597947,-90.03069185,"UNITED MEDICAL HEALTHWEST-NEW ORLEANS",LA,OPEN,"(504) 433-5551",REHABILITATION,-1,http://umrhospital.com/locations/new-orleans/,70056,-1,-1,-1,-1
43,-1,-1,-1,-1,"845 PARKSIDE ST",18,RIPON,USA,"FOND DU LAC",152354971,43.83437609,-88.81775153,"RIPON MEDICAL CENTER",WI,OPEN,"(920) 748-3101","CRITICAL ACCESS",-1,http://www.agnesian.com/locations/hospitals/ripon-medical-center,54971,-1,-1,-1,-1
44,-1,-1,-1,-1,"830 CHALKSTONE AVE",-999,PROVIDENCE,USA,PROVIDENCE,13402908,41.83213908,-71.43314954,"VA MEDICAL CENTER - PROVIDENCE",RI,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.providence.va.gov/,2908,-1,-1,-1,-1
45,-1,-1,-1,-1,"500 E VETERANS ST",-999,TOMAH,USA,MONROE,15954660,44.00308068,-90.49331901,"TOMAH VA MEDICAL CENTER",WI,OPEN,"(608) 372-3971",MILITARY,-1,http://www.tomah.va.gov/,54660,-1,-1,-1,-1
46,-1,-1,-1,-1,"601 S CENTER AVE",25,MERRILL,USA,LINCOLN,5854452,45.17563254,-89.68183128,"ASCENSION GOOD SAMARITAN HLTH CTR",WI,OPEN,"(715) 536-5511","GENERAL ACUTE CARE",-1,http://www.ministryhealth.org,54452,-1,-1,-1,-1
47,-1,-1,-1,-1,"2750 EUREKA WAY",16,REDDING,USA,SHASTA,58796001,40.58659539,-122.4119741,"RESTPADD PSYCHIATRIC HEALTH FACILITY",CA,OPEN,"(530) 262-6700",PSYCHIATRIC,-1,http://www.restpadd.com/,96001,-1,-1,-1,-1
48,-1,-1,-1,-1,"303 SOUTH C STREET",34,LOMPOC,USA,"SANTA BARBARA",59093436,34.63537161,-120.4521883,"THE CHAMPION CENTER",CA,OPEN,"(844) 394-3767",REHABILITATION,-1,https://championrecovery.com/,93436,-1,-1,-1,-1
49,-1,-1,-1,-1,"2295 S. VINEYARD AVENUE",176,ONTARIO,USA,"SAN BERNARDINO",21891761,34.03207956,-117.6085993,"KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,91761,-1,-1,-1,-1
50,-1,-1,-1,-1,"25333 BARTON ROAD",134,"LOMA LINDA",USA,"SAN BERNARDINO",25692354,34.04730564,-117.2516368,"LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.llumc.edu,92354,-1,-1,-1,-1
51,-1,-1,-1,-1,"2101 NORTH WATERMAN AVENUE",342,"SAN BERNARDINO",USA,"SAN BERNARDINO",44792404,34.13467236,-117.27702,"ST. BERNARDINE MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.stbernardinemedicalcenter.com,92404,-1,-1,-1,-1
52,-1,-1,-1,-1,"4647 ZION AVENUE",414,"SAN DIEGO",USA,"SAN DIEGO",20092120,32.79156258,-117.0951595,"KAISER FND HOSP - SAN DIEGO",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,92120,-1,-1,-1,-1
53,-1,-1,-1,-1,"10666 NORTH TORREY PINES ROAD",173,"LA JOLLA",USA,"SAN DIEGO",40992037,32.8968589,-117.2428711,"SCRIPPS GREEN HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.scrippshealth.org,92037,-1,-1,-1,-1
54,-1,-1,-1,-1,"354 SANTA FE DRIVE",194,ENCINITAS,USA,"SAN DIEGO",41092024,33.03734478,-117.2841834,"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.scripps.org,92024,-1,-1,-1,-1
55,-1,-1,-1,-1,"3003 HEALTH CENTER DRIVE",206,"SAN DIEGO",USA,"SAN DIEGO",42292123,32.79829578,-117.1549778,"SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS",CA,OPEN,"NOT AVAILABLE",WOMEN,-1,http://www.sharp.com,92123,-1,-1,-1,-1
56,-1,-1,-1,-1,"200 WEST ARBOR DRIVE",390,"SAN DIEGO",USA,"SAN DIEGO",51092103,32.75477023,-117.1657314,"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,https://health.ucsd.edu/locations/pages/hillcrest.aspx,92103,-1,-1,-1,-1
57,-1,-1,-1,-1,"3700 CALIFORNIA STREET",299,"SAN FRANCISCO",USA,"SAN FRANCISCO",4894118,37.7865092,-122.4560306,"CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.cpmc.org,94118,-1,-1,-1,-1
58,-1,-1,-1,-1,"2333 BUCHANAN STREET",309,"SAN FRANCISCO",USA,"SAN FRANCISCO",5094115,37.79070454,-122.4312945,"CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.cpmc.org,94115,-1,-1,-1,-1
59,-1,-1,-1,-1,"450 STANYAN STREET",403,"SAN FRANCISCO",USA,"SAN FRANCISCO",46594117,37.77408876,-122.4537516,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.stmarysmedicalcenter.org,94117,-1,-1,-1,-1
60,-1,-1,-1,-1,"401 BICENTENNIAL WAY",173,"SANTA ROSA",USA,SONOMA,20595403,38.47179301,-122.7270644,"KAISER FND HOSP - SANTA ROSA",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,95403,-1,-1,-1,-1
61,-1,-1,-1,-1,"975 SERENO DRIVE",248,VALLEJO,USA,SOLANO,19594590,38.12690208,-122.2483773,"KAISER FND HOSP - REHABILITATION CENTER VALLEJO",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,94590,-1,-1,-1,-1
62,-1,-1,-1,-1,"1325 COTTONWOOD STREET",108,WOODLAND,USA,YOLO,53195695,38.66392502,-121.7921452,"WOODLAND MEMORIAL HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.woodlandhealthcare.org,95695,-1,-1,-1,-1
63,-1,-1,-1,-1,"3100 SUMMIT STREET",75,OAKLAND,USA,ALAMEDA,1294609,37.82013961,-122.2640042,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.altabatessummit.com,94609,-1,-1,-1,-1
64,-1,-1,-1,-1,"13855 EAST 14TH STREET",93,"SAN LEANDRO",USA,ALAMEDA,39794578,37.71228835,-122.1434937,"SAN LEANDRO HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://edenmedcenter.org,94578,-1,-1,-1,-1
65,-1,-1,-1,-1,"27200 CALAROGA AVENUE",217,HAYWARD,USA,ALAMEDA,46694545,37.63344199,-122.0879125,"ST. ROSE HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.srhca.org,94545,-1,-1,-1,-1
66,-1,-1,-1,-1,"2510 NORTH CALIFORNIA STREET",35,STOCKTON,USA,"SAN JOAQUIN",45995204,37.9765963,-121.2910709,"ST. JOSEPH'S BEHAVIORAL HEALTH CENTER",CA,OPEN,"NOT AVAILABLE",PSYCHIATRIC,-1,http://www.stjosephscanhelp.org,95204,-1,-1,-1,-1
67,-1,-1,-1,-1,"1800 NORTH CALIFORNIA STREET",364,STOCKTON,USA,"SAN JOAQUIN",46095204,37.97046719,-121.2881828,"ST. JOSEPH'S MEDICAL CENTER OF STOCKTON",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.stjosephscares.org,95204,-1,-1,-1,-1
68,-1,-1,-1,-1,"250 SOUTH GRAND AVENUE",105,GLENDORA,USA,"LOS ANGELES",13291741,34.13265458,-117.8712597,"FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx,91741,-1,-1,-1,-1
69,-1,-1,-1,-1,"1420 SOUTH CENTRAL AVENUE",334,GLENDALE,USA,"LOS ANGELES",14791204,34.12816563,-118.2566432,"GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.glendalememorial.com,91204,-1,-1,-1,-1
70,-1,-1,-1,-1,"4867 SUNSET BOULEVARD",460,"LOS ANGELES",USA,"LOS ANGELES",19090027,34.09857365,-118.2941753,"KAISER FOUNDATION LOS ANGELES MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,90027,-1,-1,-1,-1
71,-1,-1,-1,-1,"13652 CANTARA STREET",218,"PANORAMA CITY",USA,"LOS ANGELES",19391402,34.21856419,-118.4302193,"KAISER PERMANENTE PANORAMA CITY",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,91402,-1,-1,-1,-1
72,-1,-1,-1,-1,"18321 CLARK STREET",249,TARZANA,USA,"LOS ANGELES",36691356,34.17039322,-118.5319041,"PROVIDENCE TARZANA MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://california.providence.org/,91356,-1,-1,-1,-1
73,-1,-1,-1,-1,"3160 GENEVA STREET",60,"LOS ANGELES",USA,"LOS ANGELES",42990020,34.06720478,-118.2863921,"SHRINERS HOSPITAL FOR CHILDREN - L.A.",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,"http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx",90020,-1,-1,-1,-1
74,-1,-1,-1,-1,"21530 SOUTH PIONEER BOULEVARD",107,"HAWAIIAN GARDENS",USA,"LOS ANGELES",50190716,33.83364001,-118.079678,"GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.tcrmc.org/,90716,-1,-1,-1,-1
75,-1,-1,-1,-1,"15630 18TH AVE - HWY 53",32,CLEARLAKE,USA,LAKE,45295422,38.93561886,-122.6201445,"ADVENTIST HEALTH CLEARLAKE",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.adventisthealth.org,95422,-1,-1,-1,-1
76,-1,-1,-1,-1,"9300 VALLEY CHILDREN'S PLACE",356,MADERA,USA,MADERA,6193638,36.88404783,-119.8002424,"VALLEY CHILDREN'S HOSPITAL",CA,OPEN,"NOT AVAILABLE",CHILDREN,-1,http://www.valleychildrens.org/pages/default.aspx,93638,-1,-1,-1,-1
77,-1,-1,-1,-1,"39-000 BOB HOPE DRIVE",489,"RANCHO MIRAGE",USA,RIVERSIDE,11792270,33.76335207,-116.4062411,"EISENHOWER MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.emc.org,92270,-1,-1,-1,-1
78,-1,-1,-1,-1,"2425 SAMARITAN DRIVE",404,"SAN JOSE",USA,"SANTA CLARA",15295124,37.25207874,-121.9465769,"GOOD SAMARITAN HOSPITAL-SAN JOSE",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.goodsamsanjose.com,95124,-1,-1,-1,-1
79,-1,-1,-1,-1,"700 LAWRENCE EXPRESSWAY",327,"SANTA CLARA",USA,"SANTA CLARA",20495051,37.33540138,-121.998873,"KAISER FND HOSP - SANTA CLARA",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,95051,-1,-1,-1,-1
80,-1,-1,-1,-1,"725 WELCH ROAD",302,"PALO ALTO",USA,"SANTA CLARA",27094304,37.43600458,-122.17539,"LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.lpch.org,94304,-1,-1,-1,-1
81,-1,-1,-1,-1,"1100 VETERANS BOULEVARD",149,"REDWOOD CITY",USA,"SAN MATEO",19494063,37.48884784,-122.2233901,"KAISER FND HOSP - REDWOOD CITY",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,94063,-1,-1,-1,-1
82,-1,-1,-1,-1,"2540 EAST STREET",245,CONCORD,USA,"CONTRA COSTA",18094520,37.98308958,-122.0334968,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.johnmuirhealth.com,94520,-1,-1,-1,-1
83,-1,-1,-1,-1,"3901 LONE TREE WAY",145,ANTIOCH,USA,"CONTRA COSTA",47794509,37.98223445,-121.8029785,"SUTTER DELTA MEDICAL CENTER",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.sutterdelta.org,94509,-1,-1,-1,-1
84,-1,-1,-1,-1,"2025 MORSE AVENUE",287,SACRAMENTO,USA,SACRAMENTO,19995825,38.60179775,-121.393144,"KAISER FND HOSP - SACRAMENTO",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.kaiserpermanente.org,95825,-1,-1,-1,-1
85,-1,-1,-1,-1,"155 GLASSON WAY",104,"GRASS VALLEY",USA,NEVADA,43195945,39.22801629,-121.0474998,"SIERRA NEVADA MEMORIAL HOSPITAL",CA,OPEN,"NOT AVAILABLE","GENERAL ACUTE CARE",-1,http://www.snmh.org,95945,-1,-1,-1,-1
