fid,address,alt_name,beds,city,country,county,countyfips,helipad,id,latitude,longitude,naics_code,naics_desc,name,owner,population,source,sourcedate,st_fips,state,status,telephone,trauma,type,val_date,val_method,website,zip
21,"1100 EAST LOOP 304","EAST TEXAS MEDICAL CENTER - CROCKETT",25,CROCKETT,USA,HOUSTON,48225,Y,13177954,31.32360364,-95.43889931,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","CROCKETT MEDICAL CENTER",NON-PROFIT,25,https://hhs.texas.gov/doing-business-hhs/provider-portals/health-care-facilities-regulation,"9/3/2019 0:00",48,TX,OPEN,"(936( 546-3891","NOT AVAILABLE","GENERAL ACUTE CARE","5/8/2020 0:00",IMAGERY/OTHER,http://crockettmedicalcenter.com/,77954
22,"242 W SHAMROCK AVE","NOT AVAILABLE",128,PINEVILLE,USA,RAPIDES,22079,N,4671360,31.32737894,-92.44013511,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","CENTRAL LOUISIANA STATE HOSPITAL","GOVERNMENT - STATE",128,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(318) 484-6200","NOT AVAILABLE",PSYCHIATRIC,"2/10/2014 0:00",IMAGERY/OTHER,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,71360
23,"409 1ST ST","NOT AVAILABLE",11,BERNICE,USA,UNION,22111,Y,15671222,32.82399167,-92.65664868,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","REEVES MEMORIAL MEDICAL CENTER","GOVERNMENT - DISTRICT/AUTHORITY",11,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(318) 285-9066","NOT AVAILABLE","GENERAL ACUTE CARE","10/8/2013 0:00",IMAGERY/OTHER,http://reevesmemorial.com/,71222
24,"309 N MAIN ST","NOT AVAILABLE",18,FARMERVILLE,USA,UNION,22111,N,16971241,32.77612793,-92.40562585,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","SERENITY SPRINGS SPECIALTY HOSPITAL",PROPRIETARY,18,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(318) 202-3860","NOT AVAILABLE",PSYCHIATRIC,"12/15/2017 0:00",IMAGERY/OTHER,http://www.serenityhospital.com,71241
25,"209 FRONT ST.","NOT AVAILABLE",40,VIDALIA,USA,CONCORDIA,22029,N,15371373,31.56117486,-91.42606698,622310,"SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS","RIVERBRIDGE SPECIALTY HOSPITAL",PROPRIETARY,40,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(800) 269-8034","NOT AVAILABLE","LONG TERM CARE","2/10/2014 0:00",IMAGERY/OTHER,http://www.promise-misslou.com,71373
26,"7939 HIGHWAY 165","NOT AVAILABLE",40,COLUMBIA,USA,CALDWELL,22021,N,5371418,32.06003995,-92.09913767,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","CITIZENS MEDICAL CENTER","GOVERNMENT - DISTRICT/AUTHORITY",40,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(318) 649-6106","NOT AVAILABLE","GENERAL ACUTE CARE","2/11/2014 0:00",IMAGERY/OTHER,"NOT AVAILABLE",71418
27,"545 COOK STREET","NOT AVAILABLE",144,ROYSTON,USA,FRANKLIN,13119,N,22830662,34.28325037,-83.11897237,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)","BROWN MEMORIAL CONVALESCENT CENTER",PROPRIETARY,144,http://167.193.144.247/,"11/24/2012 0:00",13,GA,CLOSED,"(706) 245-1900","NOT AVAILABLE","LONG TERM CARE","2/10/2014 0:00",IMAGERY/OTHER,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,30662
28,"2776 PACIFIC AVENUE","PACIFIC HOSPITAL OF LONG BEACH",121,"LONG BEACH",USA,"LOS ANGELES",6037,N,70990806,33.80709287,-118.1933899,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","COLLEGE MEDICAL CENTER",PROPRIETARY,121,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","1/13/2015 0:00",IMAGERY/OTHER,http://www.collegemedicalcenter.com,90806
29,"2500 MERCED STREET","NOT AVAILABLE",216,"SAN LEANDRO",USA,ALAMEDA,6001,N,71794577,37.7064062,-122.1646545,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","KAISER FOUNDATION HOSPITAL - SAN LEANDRO","NOT AVAILABLE",216,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","1/14/2015 0:00",IMAGERY/OTHER,http://www.kaiserpermanente.org,94577
30,"16453 SOUTH COLORADO AVENUE","NOT AVAILABLE",177,PARAMOUNT,USA,"LOS ANGELES",6037,N,72590723,33.88463186,-118.1622671,622310,"SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS","KINDRED HOSPITAL PARAMOUNT",PROPRIETARY,177,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","LONG TERM CARE","1/14/2015 0:00",IMAGERY/OTHER,http://www.promiseeastla.com/,90723
31,"11401 BLOOMFIELD AVENUE","NOT AVAILABLE",1265,NORWALK,USA,"LOS ANGELES",6037,N,73790650,33.92803135,-118.0679897,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","DEPARTMENT OF STATE HOSPITAL-METROPOLITAN","GOVERNMENT - STATE",1265,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"(562) 863-7011","NOT AVAILABLE",PSYCHIATRIC,"1/16/2015 0:00",IMAGERY/OTHER,http://www.dsh.ca.gov/metropolitan/default.asp,90650
32,"5383 STATE ROUTE 154","NOT AVAILABLE",17,PINCKNEYVILLE,USA,PERRY,17145,Y,196162274,38.084846,-89.349108,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","PINCKNEYVILLE COMMUNITY HOSPITAL","GOVERNMENT - LOCAL",-999,https://data.illinois.gov/dataset/410idph_hospital_directory,"9/19/2019 0:00",17,IL,OPEN,"(618) 357-2187","NOT AVAILABLE","CRITICAL ACCESS","5/7/2020 0:00",IMAGERY/OTHER,http://www.pvillehosp.org/,62274
33,"11705 MERCY BOULEVARD","NOT AVAILABLE",294,SAVANNAH,USA,CHATHAM,13051,Y,85531419,31.98543032,-81.15455637,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","ST JOSEPH'S HOSPITAL - SAVANNAH",NON-PROFIT,-999,http://www.gamap2care.info/,"8/9/2019 0:00",13,GA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","3/5/2015 0:00",IMAGERY/OTHER,"NOT AVAILABLE",31419
34,"320 TURNER MCCALL BOULEVARD","NOT AVAILABLE",45,ROME,USA,FLOYD,13115,N,86630165,34.25971345,-85.18023963,622310,"SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS","KINDRED HOSPITAL ROME","NOT AVAILABLE",45,http://www.gamap2care.info/,"8/9/2019 0:00",13,GA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","LONG TERM CARE","3/5/2015 0:00",IMAGERY/OTHER,"NOT AVAILABLE",30165
35,"801 W GORDON STREET","NOT AVAILABLE",115,THOMASTON,USA,UPSON,13293,N,87130286,32.8862977,-84.33650699,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","UPSON REGIONAL MEDICAL CENTER","NOT AVAILABLE",115,http://www.gamap2care.info/,"8/9/2019 0:00",13,GA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","3/5/2015 0:00",IMAGERY/OTHER,"NOT AVAILABLE",30286
36,"126 HIGHWAY 280 W","NOT AVAILABLE",76,AMERICUS,USA,SUMTER,13261,Y,87531719,32.06696234,-84.2560502,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","PHOEBE SUMTER MEDICAL CENTER","NOT AVAILABLE",76,http://www.gamap2care.info/,"8/9/2019 0:00",13,GA,OPEN,"(229) 924-6011","NOT AVAILABLE","GENERAL ACUTE CARE","3/9/2015 0:00",IMAGERY/OTHER,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,31719
37,"6135 ROOSEVELT HIGHWAY","NOT AVAILABLE",32,"WARM SPRINGS",USA,MERIWETHER,13199,N,87931830,32.88798074,-84.6923449,622310,"SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS","ROOSEVELT WARM SPRINGS LTAC HOSPITAL","NOT AVAILABLE",32,http://www.gamap2care.info/,"8/9/2019 0:00",13,GA,OPEN,"(404) 655-5011","NOT AVAILABLE","LONG TERM CARE","3/9/2015 0:00",IMAGERY/OTHER,"NOT AVAILABLE",31830
38,"600 CELEBRATE LIFE PKWY","NOT AVAILABLE",50,NEWNAN,USA,COWETA,13077,N,90030265,33.38483465,-84.75774669,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","SOUTHEASTERN REGIONAL MEDICAL CENTER",PROPRIETARY,25,http://www.gamap2care.info/,"8/9/2019 0:00",13,GA,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","3/9/2015 0:00",IMAGERY/OTHER,http://www.cancercenter.com/southeastern/,30265
39,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO","NOT AVAILABLE",988,CAROLINA,PRI,METRO,72031,N,196500984,18.380443,-65.95579,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA","NOT AVAILABLE",-999,http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,"8/9/2019 0:00",72,PR,OPEN,"(787) 621-3322","NOT AVAILABLE","GENERAL ACUTE CARE","5/7/2020 0:00",IMAGERY/OTHER,https://www.tuhospitalfamiliar.com/,984
40,"3150 GERSHWIN DRIVE","NOT AVAILABLE",16,"GREEN BAY",USA,BROWN,55009,N,2054311,44.52271226,-87.92482708,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","BROWN CTY COMMUNITY TREATMENT CENTER","GOVERNMENT - LOCAL",16,https://www.dhs.wisconsin.gov/guide/hospital.htm,"8/13/2019 0:00",55,WI,OPEN,"(920) 391-4700","NOT AVAILABLE",PSYCHIATRIC,"5/5/2020 0:00",IMAGERY/OTHER,http://www.co.brown.wi.us/,54311
41,"10000 WEST BLUEMOUND ROAD","WISCONSIN HEART HOSPITAL",40,WAUWATOSA,USA,MILWAUKEE,55079,N,151253226,43.03581215,-88.03726582,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","WHEATON FRANCISCAN WI HEART SPINE AND ORTHO","NOT AVAILABLE",40,https://www.dhs.wisconsin.gov/guide/hospital.htm,"8/13/2019 0:00",55,WI,OPEN,"(414) 778-7800","NOT AVAILABLE","GENERAL ACUTE CARE","3/27/2015 0:00",IMAGERY/OTHER,"NOT AVAILABLE",53226
42,"AVE LAUREL 100, URB. SANTA JUANITA","NOT AVAILABLE",-999,BAYAMON,PRI,BAYAMON,72021,N,196600956,18.36765566,-66.15439126,622210,"CHILDREN'S HOSPITALS, PSYCHIATRIC OR SUBSTANCE ABUSE","HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES","NOT AVAILABLE",-999,http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,"8/9/2019 0:00",72,PR,OPEN,"(787) 786-7373","NOT AVAILABLE",PSYCHIATRIC,"5/7/2020 0:00",IMAGERY/OTHER,"NOT AVAILABLE",956
43,"6410 MASONIC DRIVE","NOT AVAILABLE",18,ALEXANDRIA,USA,RAPIDES,22079,N,159171301,31.25219156,-92.48198781,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","COMPASS BEHAVIORAL CENTER OF ALEXANDRIA","NOT AVAILABLE",-999,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(318) 473-0035","NOT AVAILABLE","GENERAL ACUTE CARE","5/30/2015 0:00",IMAGERY/OTHER,"NOT AVAILABLE",71301
44,"4608 HIGHWAY 1","NOT AVAILABLE",38,RACELAND,USA,LAFOURCHE,22057,Y,163570394,29.70267142,-90.5652539,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","OCSHNER ST. ANNE GENERAL HOSPITAL","NOT AVAILABLE",38,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(985) 537-8377","NOT AVAILABLE","GENERAL ACUTE CARE","5/30/2015 0:00",IMAGERY/OTHER,https://www.ochsner.org/locations/ochsner-st-anne/,70394
45,"4502 HWY 951","NOT AVAILABLE",-999,JACKSON,USA,"EAST FELICIANA",22037,N,164970748,30.83263569,-91.21066049,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","FELICIANA FORENSIC FACILITY","GOVERNMENT - STATE",-999,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(225) 634-0216","NOT AVAILABLE","GENERAL ACUTE CARE","2/25/2016 0:00",IMAGERY/OTHER,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,70748
46,"3201 WALL BOULEVARD","NOT AVAILABLE",14,GRETNA,USA,JEFFERSON,22051,N,160970056,29.86597947,-90.03069185,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)","UNITED MEDICAL HEALTHWEST-NEW ORLEANS",PROPRIETARY,-999,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,"8/16/2019 0:00",22,LA,OPEN,"(504) 433-5551","NOT AVAILABLE",REHABILITATION,"5/29/2015 0:00",IMAGERY/OTHER,http://umrhospital.com/locations/new-orleans/,70056
47,"845 PARKSIDE ST","NOT AVAILABLE",18,RIPON,USA,"FOND DU LAC",55039,Y,152354971,43.83437609,-88.81775153,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","RIPON MEDICAL CENTER","NOT AVAILABLE",18,https://www.dhs.wisconsin.gov/guide/hospital.htm,"8/13/2019 0:00",55,WI,OPEN,"(920) 748-3101","LEVEL IV","CRITICAL ACCESS","3/27/2015 0:00",IMAGERY/OTHER,http://www.agnesian.com/locations/hospitals/ripon-medical-center,54971
48,"830 CHALKSTONE AVE","NOT AVAILABLE",-999,PROVIDENCE,USA,PROVIDENCE,44007,N,13402908,41.83213908,-71.43314954,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","VA MEDICAL CENTER - PROVIDENCE","GOVERNMENT - FEDERAL",-999,https://www.va.gov/directory/guide/allstate.asp,"9/26/2019 0:00",44,RI,OPEN,"NOT AVAILABLE","NOT AVAILABLE","GENERAL ACUTE CARE","5/26/2015 0:00",IMAGERY/OTHER,http://www.providence.va.gov/,2908
49,"500 E VETERANS ST","NOT AVAILABLE",-999,TOMAH,USA,MONROE,55081,Y,15954660,44.00308068,-90.49331901,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","TOMAH VA MEDICAL CENTER","GOVERNMENT - FEDERAL",-999,https://www.va.gov/directory/guide/allstate.asp,"9/26/2019 0:00",55,WI,OPEN,"(608) 372-3971","NOT AVAILABLE",MILITARY,"5/29/2015 0:00",IMAGERY/OTHER,http://www.tomah.va.gov/,54660
50,"601 S CENTER AVE","NOT AVAILABLE",25,MERRILL,USA,LINCOLN,55069,Y,5854452,45.17563254,-89.68183128,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","ASCENSION GOOD SAMARITAN HLTH CTR",NON-PROFIT,25,https://www.dhs.wisconsin.gov/guide/hospital.htm,"8/13/2019 0:00",55,WI,OPEN,"(715) 536-5511","LEVEL IV","GENERAL ACUTE CARE","5/5/2020 0:00",IMAGERY,http://www.ministryhealth.org,54452
51,"2750 EUREKA WAY","NOT AVAILABLE",16,REDDING,USA,SHASTA,6089,N,58796001,40.58659539,-122.4119741,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","RESTPADD PSYCHIATRIC HEALTH FACILITY",PROPRIETARY,16,http://www.oshpd.ca.gov/hid/facility-listing.html,"8/2/2019 0:00",6,CA,OPEN,"(530) 262-6700","NOT AVAILABLE",PSYCHIATRIC,"2/11/2016 0:00",IMAGERY/OTHER,http://www.restpadd.com/,96001
