fid,address,beds,city,country,county,id,latitude,longitude,name,population,sourcedate,state,status,telephone,type,website,zip,,,,,,,,
15,14851 YORBA STREET,48,TUSTIN,USA,ORANGE,16192680,33.74746074,-117.8310556,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,48,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.tustinrehab.com,92680,,,,,,,,
16,875 NORTH BREA BOULEVARD,86,BREA,USA,ORANGE,23792621,33.93449589,-117.8939488,KINDRED HOSPITAL BREA,86,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kindredhospitalbrea.com/,92621,,,,,,,,
17,200 HOSPITAL CIRCLE,109,WESTMINSTER,USA,ORANGE,24392683,33.76353321,-117.995256,KINDRED HOSPITAL WESTMINSTER,109,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.khwestminster.com/,92683,,,,,,,,
18,1100 SO. AKERS STREET,63,VISALIA,USA,TULARE,22093277,36.32084395,-119.3482345,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,63,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaweahdelta.org,93277,,,,,,,,
19,2449 THIRD STREET,-999,FOLKSTON,USA,CHARLTON,1931537,30.84527535,-82.00505739,CHARLTON MEMORIAL HOSPITAL,-999,11/24/2012 0:00,GA,CLOSED,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.southcoast.org/charlton/,31537,,,,,,,,
20,600 N LEWIS AVE.,103,NEW IBERIA,USA,IBERIA,5870563,30.00690698,-91.79452385,DAUTERIVE HOSPITAL,103,8/16/2019 0:00,LA,OPEN,(337) 365-7311,GENERAL ACUTE CARE,http://www.dauterivehospital.com,70563,,,,,,,,
21,1100 EAST LOOP 304,25,CROCKETT,USA,HOUSTON,13177954,31.32360364,-95.43889931,CROCKETT MEDICAL CENTER,25,9/3/2019 0:00,TX,OPEN,(936( 546-3891,GENERAL ACUTE CARE,http://crockettmedicalcenter.com/,77954,,,,,,,,
22,242 W SHAMROCK AVE,128,PINEVILLE,USA,RAPIDES,4671360,31.32737894,-92.44013511,CENTRAL LOUISIANA STATE HOSPITAL,128,8/16/2019 0:00,LA,OPEN,(318) 484-6200,PSYCHIATRIC,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,71360,,,,,,,,
23,409 1ST ST,11,BERNICE,USA,UNION,15671222,32.82399167,-92.65664868,REEVES MEMORIAL MEDICAL CENTER,11,8/16/2019 0:00,LA,OPEN,(318) 285-9066,GENERAL ACUTE CARE,http://reevesmemorial.com/,71222,,,,,,,,
24,309 N MAIN ST,18,FARMERVILLE,USA,UNION,16971241,32.77612793,-92.40562585,SERENITY SPRINGS SPECIALTY HOSPITAL,18,8/16/2019 0:00,LA,OPEN,(318) 202-3860,PSYCHIATRIC,http://www.serenityhospital.com,71241,,,,,,,,
25,209 FRONT ST.,40,VIDALIA,USA,CONCORDIA,15371373,31.56117486,-91.42606698,RIVERBRIDGE SPECIALTY HOSPITAL,40,8/16/2019 0:00,LA,OPEN,(800) 269-8034,LONG TERM CARE,http://www.promise-misslou.com,71373,,,,,,,,
26,7939 HIGHWAY 165,40,COLUMBIA,USA,CALDWELL,5371418,32.06003995,-92.09913767,CITIZENS MEDICAL CENTER,40,8/16/2019 0:00,LA,OPEN,(318) 649-6106,GENERAL ACUTE CARE,NOT AVAILABLE,71418,,,,,,,,
27,545 COOK STREET,144,ROYSTON,USA,FRANKLIN,22830662,34.28325037,-83.11897237,BROWN MEMORIAL CONVALESCENT CENTER,144,11/24/2012 0:00,GA,CLOSED,(706) 245-1900,LONG TERM CARE,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,30662,,,,,,,,
28,2776 PACIFIC AVENUE,121,LONG BEACH,USA,LOS ANGELES,70990806,33.80709287,-118.1933899,COLLEGE MEDICAL CENTER,121,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.collegemedicalcenter.com,90806,,,,,,,,
29,2500 MERCED STREET,216,SAN LEANDRO,USA,ALAMEDA,71794577,37.7064062,-122.1646545,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,216,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,94577,,,,,,,,
30,16453 SOUTH COLORADO AVENUE,177,PARAMOUNT,USA,LOS ANGELES,72590723,33.88463186,-118.1622671,KINDRED HOSPITAL PARAMOUNT,177,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,LONG TERM CARE,http://www.promiseeastla.com/,90723,,,,,,,,
31,11401 BLOOMFIELD AVENUE,1265,NORWALK,USA,LOS ANGELES,73790650,33.92803135,-118.0679897,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,1265,8/2/2019 0:00,CA,OPEN,(562) 863-7011,PSYCHIATRIC,http://www.dsh.ca.gov/metropolitan/default.asp,90650,,,,,,,,
32,5383 STATE ROUTE 154,17,PINCKNEYVILLE,USA,PERRY,196162274,38.084846,-89.349108,PINCKNEYVILLE COMMUNITY HOSPITAL,-999,9/19/2019 0:00,IL,OPEN,(618) 357-2187,CRITICAL ACCESS,http://www.pvillehosp.org/,62274,,,,,,,,
33,11705 MERCY BOULEVARD,294,SAVANNAH,USA,CHATHAM,85531419,31.98543032,-81.15455637,ST JOSEPH'S HOSPITAL - SAVANNAH,-999,8/9/2019 0:00,GA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,NOT AVAILABLE,31419,,,,,,,,
34,320 TURNER MCCALL BOULEVARD,45,ROME,USA,FLOYD,86630165,34.25971345,-85.18023963,KINDRED HOSPITAL ROME,45,8/9/2019 0:00,GA,OPEN,NOT AVAILABLE,LONG TERM CARE,NOT AVAILABLE,30165,,,,,,,,
35,801 W GORDON STREET,115,THOMASTON,USA,UPSON,87130286,32.8862977,-84.33650699,UPSON REGIONAL MEDICAL CENTER,115,8/9/2019 0:00,GA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,NOT AVAILABLE,30286,,,,,,,,
36,126 HIGHWAY 280 W,76,AMERICUS,USA,SUMTER,87531719,32.06696234,-84.2560502,PHOEBE SUMTER MEDICAL CENTER,76,8/9/2019 0:00,GA,OPEN,(229) 924-6011,GENERAL ACUTE CARE,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,31719,,,,,,,,
37,6135 ROOSEVELT HIGHWAY,32,WARM SPRINGS,USA,MERIWETHER,87931830,32.88798074,-84.6923449,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,32,8/9/2019 0:00,GA,OPEN,(404) 655-5011,LONG TERM CARE,NOT AVAILABLE,31830,,,,,,,,
38,600 CELEBRATE LIFE PKWY,50,NEWNAN,USA,COWETA,90030265,33.38483465,-84.75774669,SOUTHEASTERN REGIONAL MEDICAL CENTER,25,8/9/2019 0:00,GA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.cancercenter.com/southeastern/,30265,,,,,,,,
39,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",988,CAROLINA,PRI,METRO,196500984,18.380443,-65.95579,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,-999,8/9/2019 0:00,PR,OPEN,(787) 621-3322,GENERAL ACUTE CARE,https://www.tuhospitalfamiliar.com/,984,,,,,,,,
40,3150 GERSHWIN DRIVE,16,GREEN BAY,USA,BROWN,2054311,44.52271226,-87.92482708,BROWN CTY COMMUNITY TREATMENT CENTER,16,8/13/2019 0:00,WI,OPEN,(920) 391-4700,PSYCHIATRIC,http://www.co.brown.wi.us/,54311,,,,,,,,
41,10000 WEST BLUEMOUND ROAD,40,WAUWATOSA,USA,MILWAUKEE,151253226,43.03581215,-88.03726582,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,40,8/13/2019 0:00,WI,OPEN,(414) 778-7800,GENERAL ACUTE CARE,NOT AVAILABLE,53226,,,,,,,,
42,"AVE LAUREL 100, URB. SANTA JUANITA",-999,BAYAMON,PRI,BAYAMON,196600956,18.36765566,-66.15439126,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,-999,8/9/2019 0:00,PR,OPEN,(787) 786-7373,PSYCHIATRIC,NOT AVAILABLE,956,,,,,,,,
43,6410 MASONIC DRIVE,18,ALEXANDRIA,USA,RAPIDES,159171301,31.25219156,-92.48198781,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,-999,8/16/2019 0:00,LA,OPEN,(318) 473-0035,GENERAL ACUTE CARE,NOT AVAILABLE,71301,,,,,,,,
44,4608 HIGHWAY 1,38,RACELAND,USA,LAFOURCHE,163570394,29.70267142,-90.5652539,OCSHNER ST. ANNE GENERAL HOSPITAL,38,8/16/2019 0:00,LA,OPEN,(985) 537-8377,GENERAL ACUTE CARE,https://www.ochsner.org/locations/ochsner-st-anne/,70394,,,,,,,,
45,4502 HWY 951,-999,JACKSON,USA,EAST FELICIANA,164970748,30.83263569,-91.21066049,FELICIANA FORENSIC FACILITY,-999,8/16/2019 0:00,LA,OPEN,(225) 634-0216,GENERAL ACUTE CARE,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,70748,,,,,,,,
46,3201 WALL BOULEVARD,14,GRETNA,USA,JEFFERSON,160970056,29.86597947,-90.03069185,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,-999,8/16/2019 0:00,LA,OPEN,(504) 433-5551,REHABILITATION,http://umrhospital.com/locations/new-orleans/,70056,,,,,,,,
47,845 PARKSIDE ST,18,RIPON,USA,FOND DU LAC,152354971,43.83437609,-88.81775153,RIPON MEDICAL CENTER,18,8/13/2019 0:00,WI,OPEN,(920) 748-3101,CRITICAL ACCESS,http://www.agnesian.com/locations/hospitals/ripon-medical-center,54971,,,,,,,,
48,830 CHALKSTONE AVE,-999,PROVIDENCE,USA,PROVIDENCE,13402908,41.83213908,-71.43314954,VA MEDICAL CENTER - PROVIDENCE,-999,9/26/2019 0:00,RI,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.providence.va.gov/,2908,,,,,,,,
49,500 E VETERANS ST,-999,TOMAH,USA,MONROE,15954660,44.00308068,-90.49331901,TOMAH VA MEDICAL CENTER,-999,9/26/2019 0:00,WI,OPEN,(608) 372-3971,MILITARY,http://www.tomah.va.gov/,54660,,,,,,,,
50,601 S CENTER AVE,25,MERRILL,USA,LINCOLN,5854452,45.17563254,-89.68183128,ASCENSION GOOD SAMARITAN HLTH CTR,25,8/13/2019 0:00,WI,OPEN,(715) 536-5511,GENERAL ACUTE CARE,http://www.ministryhealth.org,54452,,,,,,,,
51,2750 EUREKA WAY,16,REDDING,USA,SHASTA,58796001,40.58659539,-122.4119741,RESTPADD PSYCHIATRIC HEALTH FACILITY,16,8/2/2019 0:00,CA,OPEN,(530) 262-6700,PSYCHIATRIC,http://www.restpadd.com/,96001,,,,,,,,
52,303 SOUTH C STREET,34,LOMPOC,USA,SANTA BARBARA,59093436,34.63537161,-120.4521883,THE CHAMPION CENTER,34,8/2/2019 0:00,CA,OPEN,(844) 394-3767,REHABILITATION,https://championrecovery.com/,93436,,,,,,,,
53,580 ALSTON STREET,25,RICHLAND,USA,STEWART,23831825,32.08616827,-84.66069977,STEWART WEBSTER HOSPITAL,25,3/8/2016 0:00,GA,CLOSED,(229) 887-3366,CRITICAL ACCESS,http://www.stewartcountyga.gov/stewartwebsterhospital.htm,31825,,,,,,,,
54,2295 S. VINEYARD AVENUE,176,ONTARIO,USA,SAN BERNARDINO,21891761,34.03207956,-117.6085993,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,176,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,91761,,,,,,,,
55,25333 BARTON ROAD,134,LOMA LINDA,USA,SAN BERNARDINO,25692354,34.04730564,-117.2516368,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,134,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.llumc.edu,92354,,,,,,,,
56,2101 NORTH WATERMAN AVENUE,342,SAN BERNARDINO,USA,SAN BERNARDINO,44792404,34.13467236,-117.27702,ST. BERNARDINE MEDICAL CENTER,342,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.stbernardinemedicalcenter.com,92404,,,,,,,,
57,4647 ZION AVENUE,414,SAN DIEGO,USA,SAN DIEGO,20092120,32.79156258,-117.0951595,KAISER FND HOSP - SAN DIEGO,414,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,92120,,,,,,,,
58,10666 NORTH TORREY PINES ROAD,173,LA JOLLA,USA,SAN DIEGO,40992037,32.8968589,-117.2428711,SCRIPPS GREEN HOSPITAL,173,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.scrippshealth.org,92037,,,,,,,,
59,354 SANTA FE DRIVE,194,ENCINITAS,USA,SAN DIEGO,41092024,33.03734478,-117.2841834,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,194,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.scripps.org,92024,,,,,,,,
60,3003 HEALTH CENTER DRIVE,206,SAN DIEGO,USA,SAN DIEGO,42292123,32.79829578,-117.1549778,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,206,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,WOMEN,http://www.sharp.com,92123,,,,,,,,
61,200 WEST ARBOR DRIVE,390,SAN DIEGO,USA,SAN DIEGO,51092103,32.75477023,-117.1657314,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,390,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,https://health.ucsd.edu/locations/pages/hillcrest.aspx,92103,,,,,,,,
62,3700 CALIFORNIA STREET,299,SAN FRANCISCO,USA,SAN FRANCISCO,4894118,37.7865092,-122.4560306,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,299,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.cpmc.org,94118,,,,,,,,
63,2333 BUCHANAN STREET,309,SAN FRANCISCO,USA,SAN FRANCISCO,5094115,37.79070454,-122.4312945,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,309,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.cpmc.org,94115,,,,,,,,
64,450 STANYAN STREET,403,SAN FRANCISCO,USA,SAN FRANCISCO,46594117,37.77408876,-122.4537516,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",403,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.stmarysmedicalcenter.org,94117,,,,,,,,
65,401 BICENTENNIAL WAY,173,SANTA ROSA,USA,SONOMA,20595403,38.47179301,-122.7270644,KAISER FND HOSP - SANTA ROSA,173,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,95403,,,,,,,,
66,975 SERENO DRIVE,248,VALLEJO,USA,SOLANO,19594590,38.12690208,-122.2483773,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,248,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,94590,,,,,,,,
67,1325 COTTONWOOD STREET,108,WOODLAND,USA,YOLO,53195695,38.66392502,-121.7921452,WOODLAND MEMORIAL HOSPITAL,108,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.woodlandhealthcare.org,95695,,,,,,,,
68,3100 SUMMIT STREET,75,OAKLAND,USA,ALAMEDA,1294609,37.82013961,-122.2640042,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,75,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.altabatessummit.com,94609,,,,,,,,
69,13855 EAST 14TH STREET,93,SAN LEANDRO,USA,ALAMEDA,39794578,37.71228835,-122.1434937,SAN LEANDRO HOSPITAL,93,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://edenmedcenter.org,94578,,,,,,,,
70,27200 CALAROGA AVENUE,217,HAYWARD,USA,ALAMEDA,46694545,37.63344199,-122.0879125,ST. ROSE HOSPITAL,217,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.srhca.org,94545,,,,,,,,
71,2510 NORTH CALIFORNIA STREET,35,STOCKTON,USA,SAN JOAQUIN,45995204,37.9765963,-121.2910709,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,35,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,PSYCHIATRIC,http://www.stjosephscanhelp.org,95204,,,,,,,,
72,1800 NORTH CALIFORNIA STREET,364,STOCKTON,USA,SAN JOAQUIN,46095204,37.97046719,-121.2881828,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,364,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.stjosephscares.org,95204,,,,,,,,
73,250 SOUTH GRAND AVENUE,105,GLENDORA,USA,LOS ANGELES,13291741,34.13265458,-117.8712597,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,105,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.cvhp.org/our_facilities/foothill_presbyterian.aspx,91741,,,,,,,,
74,1420 SOUTH CENTRAL AVENUE,334,GLENDALE,USA,LOS ANGELES,14791204,34.12816563,-118.2566432,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,334,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.glendalememorial.com,91204,,,,,,,,
75,4867 SUNSET BOULEVARD,460,LOS ANGELES,USA,LOS ANGELES,19090027,34.09857365,-118.2941753,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,460,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,90027,,,,,,,,
76,13652 CANTARA STREET,218,PANORAMA CITY,USA,LOS ANGELES,19391402,34.21856419,-118.4302193,KAISER PERMANENTE PANORAMA CITY,218,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,91402,,,,,,,,
77,18321 CLARK STREET,249,TARZANA,USA,LOS ANGELES,36691356,34.17039322,-118.5319041,PROVIDENCE TARZANA MEDICAL CENTER,249,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://california.providence.org/,91356,,,,,,,,
78,3160 GENEVA STREET,60,LOS ANGELES,USA,LOS ANGELES,42990020,34.06720478,-118.2863921,SHRINERS HOSPITAL FOR CHILDREN - L.A.,60,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.shrinershospitalsforchildren.org/hospitals/locations/losa ngeles.aspx,90020,,,,,,,,
79,21530 SOUTH PIONEER BOULEVARD,107,HAWAIIAN GARDENS,USA,LOS ANGELES,50190716,33.83364001,-118.079678,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,107,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.tcrmc.org/,90716,,,,,,,,
80,15630 18TH AVE - HWY 53,32,CLEARLAKE,USA,LAKE,45295422,38.93561886,-122.6201445,ADVENTIST HEALTH CLEARLAKE,32,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.adventisthealth.org,95422,,,,,,,,
81,9300 VALLEY CHILDREN'S PLACE,356,MADERA,USA,MADERA,6193638,36.88404783,-119.8002424,VALLEY CHILDREN'S HOSPITAL,356,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,CHILDREN,http://www.valleychildrens.org/pages/default.aspx,93638,,,,,,,,
82,39-000 BOB HOPE DRIVE,489,RANCHO MIRAGE,USA,RIVERSIDE,11792270,33.76335207,-116.4062411,EISENHOWER MEDICAL CENTER,489,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.emc.org,92270,,,,,,,,
83,2425 SAMARITAN DRIVE,404,SAN JOSE,USA,SANTA CLARA,15295124,37.25207874,-121.9465769,GOOD SAMARITAN HOSPITAL-SAN JOSE,404,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.goodsamsanjose.com,95124,,,,,,,,
84,700 LAWRENCE EXPRESSWAY,327,SANTA CLARA,USA,SANTA CLARA,20495051,37.33540138,-121.998873,KAISER FND HOSP - SANTA CLARA,327,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,95051,,,,,,,,
85,725 WELCH ROAD,302,PALO ALTO,USA,SANTA CLARA,27094304,37.43600458,-122.17539,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,302,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.lpch.org,94304,,,,,,,,
86,1100 VETERANS BOULEVARD,149,REDWOOD CITY,USA,SAN MATEO,19494063,37.48884784,-122.2233901,KAISER FND HOSP - REDWOOD CITY,149,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,94063,,,,,,,,
87,2540 EAST STREET,245,CONCORD,USA,CONTRA COSTA,18094520,37.98308958,-122.0334968,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,245,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.johnmuirhealth.com,94520,,,,,,,,
88,3901 LONE TREE WAY,145,ANTIOCH,USA,CONTRA COSTA,47794509,37.98223445,-121.8029785,SUTTER DELTA MEDICAL CENTER,145,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.sutterdelta.org,94509,,,,,,,,
89,2025 MORSE AVENUE,287,SACRAMENTO,USA,SACRAMENTO,19995825,38.60179775,-121.393144,KAISER FND HOSP - SACRAMENTO,287,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.kaiserpermanente.org,95825,,,,,,,,
90,155 GLASSON WAY,104,GRASS VALLEY,USA,NEVADA,43195945,39.22801629,-121.0474998,SIERRA NEVADA MEMORIAL HOSPITAL,104,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.snmh.org,95945,,,,,,,,
91,7901 WALKER STREET,141,LA PALMA,USA,ORANGE,24690623,33.84751418,-118.0383023,LA PALMA INTERCOMMUNITY HOSPITAL,141,8/2/2019 0:00,CA,OPEN,NOT AVAILABLE,GENERAL ACUTE CARE,http://www.lapalmaintercommunityhospital.com,90623,,,,,,,,
