state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
VT,0,16,1260,16,774,16,3,16,67,16,1,16,0,16,2,16,0,16,1,16,0,16,103,16,0.614285714,16,774,1260,0.003875969,16,3,774,0.002380952,16,3,1260,0.009708738,16,1,103,0.650485437,16,67,103,9/25/2020
WA,6,91,10149,80,9476,96,408,97,862,80,93,79,79,76,399,88,287,85,7,88,1,85,910,63,0.589811804,80,5986,10149,0.043056142,96,408,9476,0.027391861,80,278,10149,0.054945055,59,50,910,0.615384615,62,560,910,9/25/2020
WI,2,137,12745,135,7766,136,907,137,877,131,204,134,168,134,903,136,666,134,4,136,2,134,1489,130,0.608238525,135,7752,12745,0.116533608,136,905,7766,0.07069439,135,901,12745,0.136333109,129,203,1489,0.58934592,129,874,1483,9/25/2020
AK,0,22,1503,22,1009,23,49,23,85,18,11,18,11,18,47,22,35,21,2,22,1,21,103,13,0.631403859,22,949,1503,0.048562934,23,49,1009,0.032601464,22,49,1503,0.069306931,12,7,101,0.786407767,13,81,103,9/25/2020
AL,7,110,14941,109,10248,109,1000,110,1235,109,277,110,250,110,987,110,781,110,13,110,7,110,1480,109,0.685897865,109,10248,14941,0.095238095,109,976,10248,0.065323606,109,976,14941,0.187162162,109,277,1480,0.834459459,109,1235,1480,9/25/2020
AR,2,92,8914,94,6054,97,581,97,730,86,223,83,204,81,570,91,438,88,11,91,4,88,939,80,0.668723357,94,5961,8914,0.095969607,97,581,6054,0.065066188,94,580,8914,0.231837607,75,217,936,0.74227902,79,697,939,9/25/2020
AZ,2,76,11702,77,8700,86,518,91,699,66,109,72,90,72,485,79,260,79,8,79,4,79,1285,56,0.629806871,76,7370,11702,0.057241379,86,498,8700,0.039565886,77,463,11702,0.06770428,54,87,1285,0.440466926,56,566,1285,9/25/2020
CA,17,361,58853,363,40347,364,3197,364,4423,347,793,346,666,345,3054,356,2271,354,55,356,32,354,6678,347,0.683057788,363,40200,58853,0.079420679,363,3197,40254,0.054415169,362,3197,58752,0.118837105,343,793,6673,0.662820321,345,4423,6673,9/25/2020
CO,1,81,10949,94,7046,95,290,95,703,77,86,78,63,77,278,85,181,81,5,85,3,81,1203,73,0.641793771,94,7027,10949,0.041158104,95,290,7046,0.026486437,94,290,10949,0.071248952,70,85,1193,0.597760551,71,694,1161,9/25/2020
CT,4,29,8082,29,5731,29,203,31,497,29,32,29,16,29,202,29,92,29,1,29,1,29,1039,29,0.709106657,29,5731,8082,0.035421392,29,203,5731,0.025117545,29,203,8082,0.030798845,29,32,1039,0.478344562,29,497,1039,9/25/2020
DC,10,12,3460,13,2737,13,152,13,255,13,23,12,22,12,137,13,96,13,15,13,4,13,335,13,0.791040462,13,2737,3460,0.055535258,13,152,2737,0.043930636,13,152,3460,0.068656716,12,23,335,0.76119403,13,255,335,9/25/2020
DE,0,12,2562,11,2139,13,101,13,105,8,10,9,10,9,97,11,76,10,1,11,0,10,141,8,0.755659641,11,1936,2562,0.047218326,13,101,2139,0.039422326,11,101,2562,0.070921986,8,10,141,0.744680851,7,105,141,9/25/2020
FL,74,255,80667,254,42853,255,2487,255,4405,254,679,254,573,254,2454,255,2236,255,33,255,21,255,5970,254,0.528977153,254,42671,80667,0.05803561,255,2487,42853,0.030830451,254,2487,80667,0.113735343,254,679,5970,0.737855946,254,4405,5970,9/25/2020
GA,20,137,17648,138,13517,139,2064,145,1546,107,477,115,376,115,1675,131,1206,130,75,131,28,130,1903,102,0.762890714,136,13375,17532,0.145816379,139,1971,13517,0.109814143,138,1938,17648,0.23032224,96,436,1893,0.792958487,98,1509,1903,9/25/2020
HI,3,17,1791,16,1859,25,178,23,120,16,34,16,34,16,177,21,166,21,1,21,1,21,97,14,0.697934115,16,1250,1791,0.103896104,19,144,1386,0.078168621,16,140,1791,0.164948454,14,16,97,0.680412371,14,66,97,9/25/2020
IA,1,122,8162,122,4908,122,426,122,449,122,103,121,95,121,420,122,363,122,6,122,2,122,688,121,0.601323205,122,4908,8162,0.086797066,122,426,4908,0.05219309,122,426,8162,0.149709302,120,103,688,0.652616279,121,449,688,9/25/2020
MS,7,87,7749,96,4859,98,877,99,516,70,153,69,149,68,466,93,426,90,3,93,1,90,581,66,0.62485482,96,4842,7749,0.180489813,98,877,4859,0.113175894,96,877,7749,0.243432574,63,139,571,0.865748709,66,503,581,9/25/2020
MT,341,65,2743,64,1983,66,204,66,120,63,40,63,36,63,203,65,188,64,1,65,1,64,181,61,0.675902297,64,1854,2743,0.102874433,66,204,1983,0.069267226,64,190,2743,0.187845304,61,34,181,0.580110497,61,105,181,9/25/2020
NC,132,121,22752,122,16682,122,1238,122,1788,116,352,117,290,116,1214,120,789,118,23,120,6,118,2327,116,0.733210267,122,16682,22752,0.074345424,121,1238,16652,0.05448464,121,1238,22722,0.151267727,116,352,2327,0.768371294,116,1788,2327,9/25/2020
ND,1,47,2185,47,1458,47,187,47,42,45,22,47,21,47,184,47,156,47,3,47,1,47,78,45,0.667276888,47,1458,2185,0.128257888,47,187,1458,0.085583524,47,187,2185,0.128205128,45,10,78,0.538461538,45,42,78,9/25/2020
NE,1,78,4843,82,3340,83,254,83,373,68,83,66,78,66,246,79,208,74,2,79,2,74,567,69,0.596118109,82,2887,4843,0.076047904,83,254,3340,0.041916168,82,203,4843,0.146902655,65,83,565,0.657848325,67,373,567,9/25/2020
NH,3,30,3249,30,2138,30,42,30,145,30,12,30,6,30,42,30,15,30,0,30,0,30,282,30,0.65804863,30,2138,3249,0.019644528,30,42,2138,0.012927054,30,42,3249,0.042553191,30,12,282,0.514184397,30,145,282,9/25/2020
NJ,37,78,19145,76,13671,78,625,78,1115,75,86,74,57,74,585,76,283,76,9,76,7,76,1931,73,0.686602246,76,13145,19145,0.045717212,78,625,13671,0.031026378,76,594,19145,0.04453651,73,86,1931,0.571206629,73,1103,1931,9/25/2020
NM,1,48,3513,49,2201,48,114,49,260,46,35,46,35,46,108,47,74,47,5,47,0,47,387,45,0.631020642,48,2201,3488,0.051794639,48,114,2201,0.032450897,49,114,3513,0.092105263,44,35,380,0.669291339,44,255,381,9/25/2020
NV,21,58,8397,59,5741,60,490,60,588,57,128,56,113,56,488,58,372,57,2,58,3,57,838,57,0.683696558,59,5741,8397,0.085350984,60,490,5741,0.058354174,59,490,8397,0.15274463,56,128,838,0.701670644,57,588,838,9/25/2020
NY,29,145,46145,156,35824,158,1655,166,2899,135,290,138,185,131,1532,152,694,143,80,152,22,143,4873,127,0.689190364,155,31700,45996,0.043490397,158,1558,35824,0.031140969,156,1437,46145,0.047173913,120,217,4600,0.596186804,123,2783,4668,9/25/2020
OH,7,112,30175,208,20332,208,1225,208,2529,192,289,190,198,189,1075,197,671,195,63,197,29,195,3822,193,0.673802817,208,20332,30175,0.060478894,207,1225,20255,0.040742342,207,1225,30067,0.076576577,188,289,3774,0.661695447,192,2529,3822,9/25/2020
OK,6,137,9395,135,5619,135,632,139,758,133,219,137,208,137,628,139,543,139,4,139,3,139,1114,133,0.598084087,135,5619,9395,0.099127959,135,557,5619,0.059286855,135,557,9395,0.191202873,133,213,1114,0.682268227,130,758,1111,9/25/2020
OR,0,51,6139,58,4149,59,209,60,410,50,47,50,32,50,190,53,120,53,9,53,3,53,637,46,0.674865613,58,4143,6139,0.050373584,59,209,4149,0.034044633,58,209,6139,0.070643642,45,45,637,0.614173228,45,390,635,9/25/2020
ID,1,47,3904,47,1943,48,146,49,185,45,40,48,40,48,146,48,128,48,0,48,0,48,306,46,0.46274409,46,1801,3892,0.075141534,48,146,1943,0.037397541,47,146,3904,0.130718954,46,40,306,0.608552632,44,185,304,9/25/2020
IL,13,175,29611,181,18689,187,1687,190,1846,146,370,151,266,149,1547,175,940,170,48,175,16,170,3339,137,0.612745264,181,18144,29611,0.089036332,187,1664,18689,0.054574314,181,1616,29611,0.106895513,133,355,3321,0.532908705,133,1757,3297,9/25/2020
IN,1,148,17471,148,10685,148,965,148,1358,138,199,139,198,139,952,142,574,141,13,142,1,141,2318,137,0.611584912,148,10685,17471,0.090313524,148,965,10685,0.055234388,148,965,17471,0.085849871,137,199,2318,0.585849871,137,1358,2318,9/25/2020
KS,2,132,7743,130,4510,137,377,137,490,97,102,103,84,101,362,120,273,114,6,120,5,114,684,90,0.56683456,130,4389,7743,0.08118989,136,363,4471,0.046858775,129,361,7704,0.132352941,84,90,680,0.721556886,88,482,668,9/25/2020
KY,2,112,13385,112,8629,113,633,112,998,103,589,106,129,105,615,109,428,108,18,109,0,108,1547,109,0.64064251,112,8575,13385,0.073485024,112,633,8614,0.047348343,111,633,13369,0.382716049,106,589,1539,0.645119586,103,998,1547,9/25/2020
LA,16,187,13903,174,9077,177,652,211,1139,93,209,198,194,198,633,204,607,204,12,204,5,204,1796,84,0.632237647,174,8790,13903,0.071737923,175,646,9005,0.044570267,172,614,13776,0.099662162,80,177,1776,0.576837416,84,1036,1796,9/25/2020
MA,6,101,19528,101,15103,101,354,101,961,101,99,101,62,101,347,101,195,101,7,101,5,101,1841,101,0.773402294,101,15103,19528,0.023439052,101,354,15103,0.018127816,101,354,19528,0.053775122,101,99,1841,0.521998914,101,961,1841,9/25/2020
MD,3,54,9983,55,7489,55,663,54,738,51,111,50,75,50,641,52,337,52,11,52,6,52,1178,50,0.750175298,55,7489,9983,0.089005236,53,663,7449,0.066760648,53,663,9931,0.094227504,49,111,1178,0.62139219,50,732,1178,9/25/2020
ME,0,33,3006,34,2032,35,18,35,182,32,9,31,4,30,17,32,8,31,1,32,0,31,277,30,0.674318031,34,2027,3006,0.008858268,35,18,2032,0.005655356,34,17,3006,0.025641026,28,7,273,0.657039711,30,182,277,9/25/2020
MI,2,127,23324,148,17454,150,693,150,1625,129,139,146,122,146,683,147,436,147,9,147,1,147,2245,127,0.734951123,148,17142,23324,0.039704366,150,693,17454,0.029711885,148,693,23324,0.048997773,127,110,2245,0.723830735,127,1625,2245,9/25/2020
MN,1,129,11001,129,7488,129,542,129,699,129,145,129,130,129,531,129,429,129,11,129,4,129,975,129,0.680665394,129,7488,11001,0.072382479,129,542,7488,0.049268248,129,542,11001,0.148717949,129,145,975,0.716923077,129,699,975,9/25/2020
MO,5,134,19796,126,12487,128,1155,135,1496,132,405,132,369,131,1121,135,928,134,34,135,16,134,2288,132,0.618357244,126,12241,19796,0.085128534,128,1063,12487,0.053243079,126,1054,19796,0.17701049,131,405,2288,0.653846154,131,1496,2288,9/25/2020
WV,7,60,6361,60,4375,60,258,60,470,60,65,60,53,60,254,60,184,60,4,60,0,60,684,60,0.687784939,60,4375,6361,0.058971429,60,258,4375,0.04055966,60,258,6361,0.09502924,60,65,684,0.687134503,60,470,684,9/25/2020
WY,2,28,1662,28,585,28,34,28,41,28,7,28,6,28,33,28,21,28,1,28,0,28,116,28,0.35198556,28,585,1662,0.058119658,28,34,585,0.02045728,28,34,1662,0.060344828,28,7,116,0.353448276,28,41,116,9/25/2020
